Make,Colour,Odometer (KM),Doors,Price
Toyota,Blue,37038,3,"$6,200.00"
Toyota,Green,105846,4,"$2,900.00"
Honda,Blue,46055,4,"$5,700.00"
Honda,Blue,61892,4,"$8,700.00"
Honda,Red,82262,4,"$5,500.00"
Toyota,Green,99389,4,"$3,200.00"
Toyota,White,157504,4,"$4,100.00"
Honda,Blue,44125,4,"$7,700.00"
Honda,Blue,53318,4,"$8,800.00"
Nissan,White,26458,4,"$8,300.00"
Nissan,White,213135,4,"$2,300.00"
Honda,Red,97097,4,"$5,800.00"
Nissan,White,222853,4,"$2,600.00"
Toyota,White,155297,4,"$4,600.00"
Honda,Blue,56208,4,"$5,400.00"
Honda,Blue,45990,4,"$8,500.00"
Toyota,White,147039,4,"$4,700.00"
Toyota,Blue,34722,3,"$7,400.00"
Honda,Blue,40371,4,"$9,000.00"
Honda,Blue,60519,4,"$8,700.00"
Honda,Red,90950,4,"$4,600.00"
Honda,Blue,42579,4,"$9,500.00"
Honda,Blue,51687,4,"$7,100.00"
Toyota,White,59521,4,"$6,700.00"
Nissan,White,211112,4,"$4,800.00"
Honda,Red,84840,4,"$6,800.00"
Toyota,White,60209,4,"$4,800.00"
Toyota,White,67715,4,"$6,300.00"
Nissan,White,31150,4,"$9,200.00"
Toyota,Blue,27186,3,"$5,300.00"
Nissan,White,26454,4,"$9,700.00"
Toyota,White,69561,4,"$5,500.00"
Nissan,White,31920,4,"$9,200.00"
Toyota,Blue,41113,3,"$8,100.00"
BMW,Black,6071,5,"$21,700.00"
Honda,Red,84942,4,"$4,100.00"
Nissan,White,219616,4,"$2,800.00"
Toyota,Blue,42405,3,"$7,100.00"
Nissan,White,222311,4,"$1,900.00"
Honda,Blue,64701,4,"$8,300.00"
Nissan,White,207259,4,"$4,400.00"
Honda,Blue,52679,4,"$5,700.00"
Toyota,Blue,36937,3,"$5,400.00"
Honda,Red,83468,4,"$5,900.00"
BMW,Black,5479,5,"$22,400.00"
Toyota,White,146312,4,"$2,700.00"
Toyota,White,53818,4,"$5,300.00"
Toyota,Blue,34564,3,"$6,300.00"
Toyota,Blue,34783,3,"$7,500.00"
Honda,Blue,63028,4,"$7,500.00"
Toyota,White,56254,4,"$7,800.00"
Honda,Blue,52842,4,"$6,100.00"
Nissan,White,28950,4,"$9,000.00"
Toyota,White,65183,4,"$5,500.00"
Nissan,White,27838,4,"$8,700.00"
Toyota,White,146133,4,"$5,900.00"
Toyota,White,61637,4,"$5,700.00"
Toyota,Green,101860,4,"$3,100.00"
BMW,Black,11090,5,"$22,400.00"
Nissan,White,30072,4,"$8,900.00"
Toyota,Green,107484,4,"$4,600.00"
Honda,Blue,38964,4,"$6,500.00"
Toyota,White,50666,4,"$4,500.00"
Honda,Blue,48926,4,"$6,200.00"
Honda,Blue,61793,4,"$8,000.00"
Honda,Red,88060,4,"$4,900.00"
Nissan,White,32914,4,"$8,200.00"
Honda,Blue,48589,4,"$6,800.00"
Toyota,White,54777,4,"$7,600.00"
Toyota,White,143943,4,"$2,700.00"
Honda,Red,91615,4,"$5,200.00"
Honda,Blue,42679,4,"$6,500.00"
Toyota,White,146419,4,"$4,600.00"
BMW,Black,18086,5,"$20,900.00"
Nissan,White,221872,4,"$3,900.00"
Nissan,White,222072,4,"$5,500.00"
Toyota,White,60160,4,"$5,100.00"
BMW,Black,15303,5,"$22,800.00"
Toyota,White,66282,4,"$4,300.00"
Toyota,Green,99701,4,"$3,000.00"
Toyota,White,55240,4,"$7,400.00"
Nissan,White,32053,4,"$10,000.00"
Honda,Blue,46176,4,"$7,900.00"
BMW,Black,13573,5,"$23,300.00"
Toyota,Green,108475,4,"$3,200.00"
Toyota,White,144475,4,"$2,700.00"
Toyota,Blue,36117,3,"$5,300.00"
Nissan,White,217273,4,"$2,200.00"
Toyota,White,157703,4,"$5,700.00"
Toyota,White,140345,4,"$2,800.00"
Toyota,White,157065,4,"$3,200.00"
Toyota,White,140098,4,"$2,900.00"
Toyota,White,153056,4,"$4,400.00"
Toyota,Green,97930,4,"$5,000.00"
BMW,Black,9329,5,"$21,000.00"
Toyota,Blue,24674,3,"$5,000.00"
Honda,Blue,56217,4,"$5,900.00"
Toyota,Blue,38294,3,"$8,100.00"
Toyota,Green,105961,4,"$6,200.00"
Honda,Red,84708,4,"$5,900.00"
BMW,Black,5800,5,"$22,100.00"
Toyota,White,65034,4,"$8,200.00"
Honda,Red,91522,4,"$6,000.00"
Toyota,Green,94339,4,"$5,000.00"
BMW,Black,6301,5,"$20,600.00"
Nissan,White,39630,4,"$9,700.00"
Honda,Blue,53000,4,"$9,100.00"
Toyota,White,69181,4,"$7,800.00"
Toyota,White,145913,4,"$3,500.00"
Honda,Blue,37229,4,"$6,200.00"
Honda,Blue,52910,4,"$8,400.00"
Toyota,Blue,42278,3,"$5,500.00"
Honda,Blue,43371,4,"$7,500.00"
Toyota,White,146925,4,"$5,200.00"
Toyota,White,51906,4,"$6,700.00"
BMW,Black,4265,5,"$23,600.00"
Honda,Red,91402,4,"$3,000.00"
Honda,Blue,43850,4,"$8,800.00"
Toyota,White,145793,4,"$2,900.00"
Toyota,Green,101985,4,"$5,300.00"
Toyota,White,60267,4,"$6,500.00"
Honda,Blue,36760,4,"$6,600.00"
Toyota,White,68360,4,"$7,200.00"
Toyota,White,67680,4,"$6,100.00"
BMW,Black,7408,5,"$23,200.00"
Nissan,White,38109,4,"$9,400.00"
Toyota,Blue,37696,3,"$6,000.00"
Nissan,White,207727,4,"$4,700.00"
Honda,Red,84187,4,"$6,100.00"
BMW,Black,4775,5,"$23,500.00"
BMW,Black,12654,5,"$21,600.00"
Toyota,White,56168,4,"$8,000.00"
BMW,Black,10974,5,"$22,900.00"
Nissan,White,29161,4,"$11,200.00"
Honda,Red,86157,4,"$5,800.00"
BMW,Black,17795,5,"$23,500.00"
Toyota,White,56371,4,"$7,900.00"
BMW,Black,15548,5,"$21,000.00"
Nissan,White,216005,4,"$1,500.00"
Honda,Blue,43641,4,"$7,800.00"
Honda,Blue,56937,4,"$5,900.00"
Nissan,White,37328,4,"$7,800.00"
BMW,Black,7917,5,"$23,800.00"
Honda,Red,93812,4,"$4,700.00"
Nissan,White,205567,4,"$3,500.00"
Nissan,White,40723,4,"$11,200.00"
Toyota,White,155722,4,"$3,400.00"
Honda,Blue,37459,4,"$7,000.00"
Honda,Red,88066,4,"$6,300.00"
Toyota,Green,99767,4,"$3,100.00"
Toyota,Green,106473,4,"$6,500.00"
Honda,Blue,49975,4,"$6,400.00"
Honda,Red,81711,4,"$6,600.00"
BMW,Black,19023,5,"$23,200.00"
Toyota,White,158160,4,"$4,000.00"
Honda,Blue,46343,4,"$8,200.00"
Toyota,Blue,28171,3,"$6,900.00"
Honda,Blue,42465,4,"$8,600.00"
Nissan,White,214708,4,"$2,300.00"
Honda,Red,97800,4,"$3,800.00"
Toyota,White,150632,4,"$5,600.00"
Toyota,Green,103131,4,"$4,300.00"
Toyota,Blue,35595,3,"$6,300.00"
Honda,Blue,47328,4,"$7,500.00"
Honda,Red,95346,4,"$5,300.00"
Toyota,Blue,26873,3,"$8,600.00"
Nissan,White,213882,4,"$3,100.00"
BMW,Black,10290,5,"$21,100.00"
Toyota,White,145385,4,"$4,500.00"
BMW,Black,17568,5,"$21,000.00"
Honda,Blue,53397,4,"$6,700.00"
Nissan,White,35643,4,"$11,400.00"
BMW,Black,10016,5,"$23,400.00"
Honda,Red,78016,4,"$3,500.00"
Honda,Red,91816,4,"$3,600.00"
Toyota,Green,108148,4,"$3,600.00"
BMW,Black,15488,5,"$21,700.00"
Honda,Blue,57972,4,"$8,600.00"
Honda,Red,83459,4,"$5,000.00"
Nissan,White,22446,4,"$9,900.00"
Honda,Red,88853,4,"$5,400.00"
BMW,Black,14882,5,"$20,300.00"
Toyota,White,65385,4,"$5,200.00"
Honda,Blue,49444,4,"$7,500.00"
Toyota,Green,95682,4,"$3,200.00"
Honda,Blue,54071,4,"$6,600.00"
Toyota,Blue,39157,3,"$8,900.00"
Toyota,White,62819,4,"$4,600.00"
Nissan,White,207303,4,"$4,400.00"
Honda,Blue,41981,4,"$8,500.00"
Nissan,White,23648,4,"$11,300.00"
Nissan,White,27833,4,"$8,200.00"
Honda,Blue,57679,4,"$8,200.00"
Toyota,Blue,35156,3,"$7,800.00"
Toyota,White,59765,4,"$6,500.00"
BMW,Black,3007,5,"$22,500.00"
Nissan,White,23517,4,"$11,000.00"
Nissan,White,210083,4,"$5,500.00"
Toyota,White,158453,4,"$3,300.00"
Nissan,White,36194,4,"$9,600.00"
Honda,Blue,48675,4,"$7,300.00"
Toyota,Green,89222,4,"$3,000.00"
Honda,Blue,61382,4,"$6,700.00"
Honda,Blue,45563,4,"$6,500.00"
Nissan,White,205314,4,"$4,500.00"
Honda,Blue,51779,4,"$8,900.00"
Toyota,Blue,40993,3,"$7,800.00"
Honda,Red,83186,4,"$4,000.00"
Honda,Blue,37317,4,"$8,000.00"
Toyota,White,58512,4,"$4,400.00"
Honda,Blue,46080,4,"$7,400.00"
Honda,Blue,55306,4,"$6,400.00"
Toyota,Green,108429,4,"$3,100.00"
Toyota,Green,108421,4,"$2,900.00"
Honda,Blue,63116,4,"$6,100.00"
Toyota,White,64231,4,"$8,000.00"
Honda,Blue,39188,4,"$8,300.00"
Honda,Blue,45008,4,"$5,600.00"
Honda,Red,85883,4,"$6,900.00"
BMW,Black,19167,5,"$20,300.00"
Honda,Blue,56957,4,"$7,000.00"
BMW,Black,1414,5,"$21,300.00"
BMW,Black,11340,5,"$20,300.00"
BMW,Black,3087,5,"$21,400.00"
Honda,Blue,44265,4,"$9,100.00"
Nissan,White,25130,4,"$8,300.00"
Toyota,White,145299,4,"$2,200.00"
BMW,Black,20198,5,"$21,600.00"
Honda,Blue,43860,4,"$7,600.00"
Toyota,Green,108157,4,"$3,800.00"
Toyota,White,55415,4,"$5,000.00"
Toyota,Green,92604,4,"$5,300.00"
Toyota,White,61157,4,"$6,300.00"
Toyota,Blue,28500,3,"$5,100.00"
Toyota,Green,97220,4,"$6,000.00"
Toyota,Green,98277,4,"$3,900.00"
Nissan,White,37124,4,"$8,500.00"
Toyota,White,159325,4,"$2,200.00"
Nissan,White,21677,4,"$11,500.00"
Toyota,Blue,30126,3,"$6,100.00"
Toyota,White,66984,4,"$5,800.00"
Toyota,Green,103273,4,"$4,900.00"
Nissan,White,39049,4,"$10,300.00"
Toyota,White,68520,4,"$7,200.00"
Toyota,Blue,33084,3,"$8,100.00"
Toyota,Blue,32059,3,"$6,700.00"
Honda,Red,84842,4,"$6,500.00"
Toyota,Blue,34503,3,"$5,600.00"
Toyota,White,147847,4,"$3,300.00"
Honda,Blue,51303,4,"$6,100.00"
Nissan,White,209079,4,"$3,600.00"
Honda,Red,82569,4,"$6,700.00"
Toyota,White,158617,4,"$4,700.00"
Honda,Blue,53922,4,"$5,700.00"
Nissan,White,40696,4,"$8,600.00"
Toyota,White,52192,4,"$6,200.00"
BMW,Black,2427,5,"$20,200.00"
BMW,Black,12425,5,"$22,000.00"
Toyota,Green,102003,4,"$6,400.00"
Toyota,Green,107594,4,"$2,500.00"
Toyota,Blue,26236,3,"$7,300.00"
Honda,Blue,48756,4,"$7,800.00"
Honda,Blue,47000,4,"$7,300.00"
BMW,Black,3149,5,"$21,900.00"
Honda,Blue,44087,4,"$8,100.00"
Nissan,White,220681,4,"$3,700.00"
Nissan,White,218469,4,"$5,200.00"
BMW,Black,6967,5,"$20,900.00"
Nissan,White,208503,4,"$4,700.00"
Toyota,White,149489,4,"$4,200.00"
BMW,Black,2101,5,"$23,200.00"
BMW,Black,1598,5,"$22,900.00"
Nissan,White,40188,4,"$7,800.00"
Honda,Blue,46487,4,"$7,200.00"
Nissan,White,204215,4,"$3,700.00"
Toyota,White,151303,4,"$2,100.00"
Honda,Red,95233,4,"$6,000.00"
Nissan,White,205431,4,"$1,600.00"
Toyota,Blue,27922,3,"$5,900.00"
Honda,Blue,37941,4,"$5,900.00"
Toyota,White,159072,4,"$3,300.00"
Honda,Blue,49350,4,"$6,900.00"
Nissan,White,35546,4,"$9,700.00"
Honda,Blue,62987,4,"$5,300.00"
Nissan,White,32704,4,"$9,700.00"
Toyota,Blue,35978,3,"$5,600.00"
Toyota,White,56371,4,"$6,200.00"
Toyota,White,146402,4,"$4,100.00"
Toyota,White,57863,4,"$7,100.00"
Toyota,White,143271,4,"$5,100.00"
Honda,Blue,59120,4,"$8,400.00"
Toyota,White,158798,4,"$4,300.00"
Toyota,Blue,25440,3,"$6,400.00"
Honda,Red,81655,4,"$3,600.00"
Nissan,White,218865,4,"$4,900.00"
Nissan,White,38078,4,"$8,400.00"
Honda,Blue,47412,4,"$6,300.00"
Toyota,Blue,29447,3,"$8,900.00"
Toyota,Green,99360,4,"$4,200.00"
Toyota,White,50793,4,"$6,100.00"
Toyota,White,52116,4,"$7,600.00"
BMW,Black,6958,5,"$21,100.00"
Honda,Blue,47996,4,"$6,800.00"
Nissan,White,35753,4,"$7,800.00"
Honda,Blue,55849,4,"$5,200.00"
Honda,Blue,55527,4,"$7,400.00"
Toyota,Blue,33946,3,"$7,100.00"
BMW,Black,14178,5,"$20,500.00"
Honda,Red,78713,4,"$4,100.00"
Honda,Blue,52427,4,"$5,700.00"
Honda,Blue,46239,4,"$6,400.00"
Honda,Red,80342,4,"$6,500.00"
Honda,Red,88356,4,"$6,400.00"
Toyota,Blue,32929,3,"$5,000.00"
Honda,Blue,52521,4,"$5,400.00"
Toyota,Green,100686,4,"$3,400.00"
Honda,Blue,53066,4,"$6,000.00"
Toyota,Green,104541,4,"$5,700.00"
Nissan,White,203922,4,"$2,300.00"
Toyota,White,69915,4,"$8,000.00"
Toyota,White,147190,4,"$2,900.00"
Toyota,White,54451,4,"$4,300.00"
Nissan,White,36943,4,"$8,700.00"
Honda,Red,91534,4,"$6,000.00"
BMW,Black,7138,5,"$23,100.00"
Toyota,Green,89339,4,"$5,600.00"
BMW,Black,20740,5,"$22,100.00"
Toyota,White,58795,4,"$7,800.00"
Nissan,White,214736,4,"$4,500.00"
Honda,Blue,42894,4,"$7,100.00"
Toyota,Blue,34108,3,"$6,300.00"
Honda,Red,81267,4,"$4,300.00"
Toyota,White,143840,4,"$4,200.00"
Toyota,Green,104327,4,"$5,700.00"
Toyota,Blue,36267,3,"$8,600.00"
BMW,Black,2971,5,"$20,700.00"
Toyota,White,151096,4,"$5,400.00"
Toyota,White,53476,4,"$4,900.00"
Toyota,Blue,25966,3,"$6,900.00"
Honda,Red,79544,4,"$6,800.00"
Toyota,White,154798,4,"$5,700.00"
Toyota,Green,108627,4,"$4,900.00"
Toyota,White,69256,4,"$4,900.00"
Toyota,Green,92285,4,"$4,800.00"
Nissan,White,23454,4,"$8,000.00"
Toyota,Blue,27211,3,"$8,900.00"
Toyota,Blue,29063,3,"$8,700.00"
Toyota,White,52708,4,"$6,200.00"
Honda,Blue,56432,4,"$8,000.00"
Nissan,White,31124,4,"$11,500.00"
Toyota,Blue,42440,3,"$5,700.00"
